Timestamp,"By pressing ""I consent"" and submitting the questionnaire, you are indicating that you have given consent to participate in our research. No personal data is saved nor used. ",Question 1 [Which image do you like best?],Question 1 [Which image do you like second best?],Question 1 [Which image do you like third best],Question 1 [Which image do you like least],Question 2 [Which image do you like best?],Question 2 [Which image do you like second best?],Question 2 [Which image do you like third best],Question 2 [Which image do you like least],Question 3 [Which image do you like best?],Question 3 [Which image do you like second best?],Question 3 [Which image do you like third best],Question 3 [Which image do you like least],Question 4 [Which image do you like best?],Question 4 [Which image do you like second best?],Question 4 [Which image do you like third best],Question 4 [Which image do you like least],Question 5 [Which image do you like best?],Question 5 [Which image do you like second best?],Question 5 [Which image do you like third best],Question 5 [Which image do you like least],Question 6 [Which image do you like best?],Question 6 [Which image do you like second best?],Question 6 [Which image do you like third best],Question 6 [Which image do you like least],Question 7 [Which image do you like best?],Question 7 [Which image do you like second best?],Question 7 [Which image do you like third best],Question 7 [Which image do you like least],Question 8 [Which image do you like best?],Question 8 [Which image do you like second best?],Question 8 [Which image do you like third best],Question 8 [Which image do you like least],Question 9 [Which image do you like best?],Question 9 [Which image do you like second best?],Question 9 [Which image do you like third best],Question 9 [Which image do you like least],Question 10 [Which image do you like best?],Question 10 [Which image do you like second best?],Question 10 [Which image do you like third best],Question 10 [Which image do you like least],Question 11 [Which image do you like best?],Question 11 [Which image do you like second best?],Question 11 [Which image do you like third best],Question 11 [Which image do you like least],Question 12 [Which image do you like best?],Question 12 [Which image do you like second best?],Question 12 [Which image do you like third best],Question 12 [Which image do you like least],Question 13 [Which image do you like best?],Question 13 [Which image do you like second best?],Question 13 [Which image do you like third best],Question 13 [Which image do you like least],Question 14 [Which image do you like best?],Question 14 [Which image do you like second best?],Question 14 [Which image do you like third best],Question 14 [Which image do you like least],Question 15 [Which image do you like best?],Question 15 [Which image do you like second best?],Question 15 [Which image do you like third best],Question 15 [Which image do you like least],Question 16 [Which image do you like best?],Question 16 [Which image do you like second best?],Question 16 [Which image do you like third best],Question 16 [Which image do you like least],Do you have any comments about which features in the images you find appealing?
09/06/2023 15:53:06,I consent,Image 4,Image 2,Image 1,Image 3,Image 2,Image 4,Image 3,Image 1,Image 3,Image 4,Image 1,Image 2,Image 2,Image 1,Image 4,Image 3,Image 3,Image 2,Image 1,Image 4,Image 3,Image 2,Image 4,Image 1,Image 4,Image 3,Image 2,Image 1,Image 2,Image 4,Image 1,Image 3,Image 1,Image 2,Image 4,Image 3,Image 1,Image 3,Image 2,Image 4,Image 2,Image 4,Image 1,Image 3,Image 3,Image 2,Image 1,Image 4,Image 4,Image 3,Image 2,Image 1,Image 2,Image 4,Image 3,Image 1,Image 2,Image 3,Image 4,Image 1,Image 3,Image 1,Image 4,Image 2,
09/06/2023 15:58:31,I consent,Image 1,Image 3,Image 4,Image 2,Image 2,Image 3,Image 4,Image 1,Image 3,Image 1,Image 4,Image 2,Image 2,Image 1,Image 4,Image 3,Image 3,Image 2,Image 4,Image 1,Image 3,Image 2,Image 1,Image 4,Image 4,Image 2,Image 1,Image 3,Image 3,Image 2,Image 1,Image 4,Image 1,Image 3,Image 2,Image 4,Image 4,Image 2,Image 1,Image 3,Image 2,Image 1,Image 3,Image 4,Image 3,Image 2,Image 4,Image 1,Image 4,Image 2,Image 3,Image 1,Image 2,Image 3,Image 1,Image 4,Image 2,Image 3,Image 4,Image 1,Image 3,Image 2,Image 1,Image 4,
09/06/2023 15:59:06,I consent,Image 3,Image 2,Image 4,Image 1,Image 2,Image 4,Image 3,Image 1,Image 4,Image 1,Image 3,Image 2,Image 2,Image 3,Image 4,Image 1,Image 2,Image 3,Image 4,Image 1,Image 3,Image 4,Image 1,Image 2,Image 2,Image 4,Image 3,Image 1,Image 2,Image 3,Image 4,Image 1,Image 1,Image 3,Image 2,Image 4,Image 3,Image 1,Image 4,Image 2,Image 2,Image 4,Image 3,Image 1,Image 3,Image 4,Image 2,Image 1,Image 4,Image 3,Image 2,Image 1,Image 2,Image 1,Image 3,Image 4,Image 2,Image 3,Image 4,Image 1,Image 2,Image 1,Image 3,Image 4,
09/06/2023 16:01:59,I consent,Image 4,Image 2,Image 1,Image 3,Image 2,Image 3,Image 4,Image 1,Image 3,Image 4,Image 1,Image 2,Image 2,Image 1,Image 4,Image 3,Image 3,Image 2,Image 4,Image 1,Image 2,Image 3,Image 4,Image 1,Image 2,Image 4,Image 3,Image 1,Image 3,Image 2,Image 4,Image 1,Image 1,Image 3,Image 2,Image 4,Image 4,Image 1,Image 3,Image 2,Image 3,Image 1,Image 2,Image 4,Image 3,Image 1,Image 2,Image 4,Image 4,Image 3,Image 1,Image 2,Image 2,Image 1,Image 3,Image 4,Image 1,Image 2,Image 4,Image 3,Image 4,Image 2,Image 1,Image 3,
09/06/2023 16:02:28,I consent,Image 1,Image 2,Image 4,Image 3,Image 3,Image 2,Image 4,Image 1,Image 3,Image 4,Image 1,Image 2,Image 2,Image 1,Image 3,Image 4,Image 2,Image 3,Image 1,Image 4,Image 2,Image 1,Image 3,Image 4,Image 2,Image 4,Image 3,Image 1,Image 1,Image 2,Image 3,Image 4,Image 1,Image 2,Image 3,Image 4,Image 4,Image 1,Image 2,Image 3,Image 1,Image 2,Image 3,Image 4,Image 3,Image 2,Image 1,Image 4,Image 1,Image 2,Image 3,Image 4,Image 2,Image 1,Image 3,Image 4,Image 2,Image 1,Image 3,Image 4,Image 1,Image 2,Image 3,Image 4,
09/06/2023 16:38:02,I consent,Image 4,Image 1,Image 2,Image 3,Image 1,Image 4,Image 2,Image 3,Image 3,Image 4,Image 1,Image 2,Image 1,Image 2,Image 3,Image 4,Image 3,Image 4,Image 1,Image 2,Image 3,Image 4,Image 2,Image 1,Image 1,Image 3,Image 4,Image 2,Image 2,Image 3,Image 1,Image 4,Image 1,Image 3,Image 2,Image 4,Image 1,Image 4,Image 2,Image 3,Image 2,Image 1,Image 4,Image 3,Image 3,Image 1,Image 4,Image 2,Image 4,Image 3,Image 2,Image 1,Image 4,Image 3,Image 2,Image 1,Image 2,Image 3,Image 1,Image 4,Image 2,Image 4,Image 1,Image 3,
09/06/2023 16:41:56,I consent,Image 2,Image 4,Image 1,Image 3,Image 2,Image 4,Image 3,Image 1,Image 1,Image 3,Image 4,Image 2,Image 2,Image 1,Image 3,Image 4,Image 2,Image 3,Image 1,Image 4,Image 3,Image 4,Image 2,Image 1,Image 4,Image 2,Image 3,Image 1,Image 2,Image 3,Image 4,Image 1,Image 1,Image 2,Image 4,Image 3,Image 1,Image 4,Image 3,Image 2,Image 2,Image 1,Image 4,Image 3,Image 1,Image 2,Image 3,Image 4,Image 4,Image 1,Image 3,Image 2,Image 2,Image 3,Image 4,Image 1,Image 2,Image 3,Image 4,Image 1,Image 4,Image 3,Image 1,Image 2,
09/06/2023 17:03:08,I consent,Image 1,Image 4,Image 2,Image 3,Image 2,Image 4,Image 3,Image 1,Image 3,Image 4,Image 1,Image 2,Image 2,Image 1,Image 3,Image 4,Image 4,Image 3,Image 2,Image 1,Image 3,Image 1,Image 2,Image 4,Image 2,Image 4,Image 3,Image 1,Image 2,Image 4,Image 3,Image 1,Image 1,Image 4,Image 3,Image 2,Image 4,Image 2,Image 1,Image 3,Image 2,Image 3,Image 4,Image 1,Image 2,Image 3,Image 4,Image 1,Image 4,Image 3,Image 2,Image 1,Image 2,Image 3,Image 1,Image 4,Image 2,Image 1,Image 3,Image 4,Image 4,Image 3,Image 2,Image 1,I like the images with a shade of orange castede by the sunsets
09/06/2023 17:06:35,I consent,Image 4,Image 1,Image 3,Image 2,Image 4,Image 3,Image 2,Image 1,Image 1,Image 3,Image 4,Image 2,Image 4,Image 3,Image 2,Image 1,Image 3,Image 2,Image 4,Image 1,Image 3,Image 2,Image 4,Image 1,Image 4,Image 2,Image 3,Image 1,Image 4,Image 2,Image 1,Image 3,Image 1,Image 2,Image 3,Image 4,Image 2,Image 3,Image 1,Image 4,Image 2,Image 4,Image 1,Image 3,Image 2,Image 3,Image 4,Image 1,Image 4,Image 3,Image 1,Image 2,Image 2,Image 1,Image 3,Image 4,Image 3,Image 2,Image 1,Image 4,Image 3,Image 2,Image 1,Image 4,
09/06/2023 17:17:48,I consent,Image 2,Image 4,Image 3,Image 1,Image 3,Image 2,Image 4,Image 1,Image 3,Image 4,Image 1,Image 2,Image 1,Image 2,Image 3,Image 4,Image 4,Image 1,Image 3,Image 2,Image 1,Image 3,Image 2,Image 4,Image 3,Image 4,Image 2,Image 1,Image 1,Image 2,Image 4,Image 3,Image 3,Image 4,Image 1,Image 2,Image 2,Image 4,Image 1,Image 3,Image 2,Image 1,Image 3,Image 4,Image 1,Image 3,Image 4,Image 2,Image 3,Image 4,Image 1,Image 2,Image 3,Image 4,Image 2,Image 1,Image 2,Image 3,Image 4,Image 1,Image 4,Image 3,Image 2,Image 1,Not too fake
09/06/2023 17:28:47,I consent,Image 3,Image 2,Image 1,Image 4,Image 2,Image 3,Image 4,Image 1,Image 4,Image 1,Image 3,Image 2,Image 3,Image 2,Image 1,Image 4,Image 4,Image 3,Image 2,Image 1,Image 4,Image 1,Image 2,Image 3,Image 4,Image 2,Image 3,Image 1,Image 4,Image 3,Image 1,Image 2,Image 1,Image 3,Image 2,Image 4,Image 4,Image 3,Image 2,Image 1,Image 2,Image 1,Image 4,Image 3,Image 3,Image 1,Image 4,Image 2,Image 2,Image 1,Image 3,Image 4,Image 3,Image 1,Image 4,Image 2,Image 3,Image 4,Image 1,Image 2,Image 2,Image 3,Image 4,Image 1,
09/06/2023 17:30:57,I consent,Image 1,Image 4,Image 3,Image 2,Image 2,Image 4,Image 3,Image 1,Image 3,Image 1,Image 4,Image 2,Image 2,Image 1,Image 3,Image 4,Image 3,Image 2,Image 4,Image 1,Image 3,Image 2,Image 4,Image 1,Image 2,Image 1,Image 3,Image 4,Image 3,Image 2,Image 4,Image 1,Image 1,Image 2,Image 3,Image 4,Image 4,Image 1,Image 3,Image 2,Image 4,Image 2,Image 3,Image 1,Image 3,Image 1,Image 2,Image 4,Image 4,Image 1,Image 3,Image 2,Image 2,Image 1,Image 3,Image 4,Image 2,Image 1,Image 3,Image 4,Image 1,Image 2,Image 3,Image 4,
09/06/2023 17:36:53,I consent,Image 1,Image 4,Image 2,Image 3,Image 3,Image 4,Image 2,Image 1,Image 1,Image 4,Image 3,Image 2,Image 1,Image 2,Image 3,Image 4,Image 2,Image 3,Image 4,Image 1,Image 4,Image 2,Image 3,Image 1,Image 4,Image 2,Image 3,Image 1,Image 1,Image 4,Image 3,Image 2,Image 2,Image 1,Image 4,Image 3,Image 4,Image 1,Image 3,Image 2,Image 1,Image 3,Image 2,Image 4,Image 1,Image 3,Image 4,Image 2,Image 3,Image 1,Image 4,Image 2,Image 3,Image 2,Image 4,Image 1,Image 3,Image 2,Image 4,Image 1,Image 1,Image 3,Image 2,Image 4,the brightness/color contrast
09/06/2023 17:39:26,I consent,Image 1,Image 4,Image 2,Image 3,Image 2,Image 3,Image 4,Image 1,Image 1,Image 3,Image 4,Image 2,Image 2,Image 1,Image 3,Image 4,Image 3,Image 4,Image 2,Image 1,Image 2,Image 1,Image 3,Image 4,Image 2,Image 3,Image 1,Image 4,Image 4,Image 3,Image 2,Image 1,Image 3,Image 1,Image 4,Image 2,Image 1,Image 4,Image 2,Image 3,Image 4,Image 1,Image 2,Image 3,Image 3,Image 1,Image 2,Image 4,Image 3,Image 4,Image 2,Image 1,Image 4,Image 1,Image 3,Image 2,Image 3,Image 1,Image 4,Image 2,Image 4,Image 2,Image 1,Image 3,
09/06/2023 17:41:09,I consent,Image 1,Image 2,Image 3,Image 4,Image 2,Image 4,Image 1,Image 3,Image 3,Image 1,Image 4,Image 2,Image 3,Image 2,Image 1,Image 4,Image 3,Image 2,Image 4,Image 1,Image 1,Image 4,Image 3,Image 2,Image 2,Image 4,Image 3,Image 1,Image 1,Image 2,Image 3,Image 4,Image 1,Image 2,Image 4,Image 3,Image 4,Image 1,Image 3,Image 2,Image 2,Image 1,Image 3,Image 4,Image 2,Image 1,Image 3,Image 4,Image 4,Image 3,Image 1,Image 2,Image 2,Image 1,Image 4,Image 3,Image 2,Image 3,Image 4,Image 1,Image 3,Image 1,Image 2,Image 4,i find the question number 4 appealing 
09/06/2023 17:42:27,I consent,Image 2,Image 1,Image 4,Image 3,Image 1,Image 3,Image 4,Image 2,Image 3,Image 1,Image 2,Image 4,Image 2,Image 1,Image 3,Image 4,Image 2,Image 3,Image 4,Image 1,Image 2,Image 1,Image 4,Image 3,Image 3,Image 4,Image 2,Image 1,Image 3,Image 2,Image 4,Image 1,Image 1,Image 3,Image 2,Image 4,Image 2,Image 3,Image 1,Image 4,Image 2,Image 1,Image 3,Image 4,Image 3,Image 1,Image 4,Image 2,Image 4,Image 3,Image 1,Image 2,Image 1,Image 2,Image 3,Image 4,Image 2,Image 3,Image 4,Image 1,Image 4,Image 2,Image 1,Image 3,
09/06/2023 17:51:33,I consent,Image 2,Image 4,Image 1,Image 3,Image 2,Image 1,Image 4,Image 3,Image 3,Image 4,Image 1,Image 2,Image 2,Image 1,Image 3,Image 4,Image 3,Image 2,Image 4,Image 1,Image 3,Image 2,Image 4,Image 1,Image 2,Image 4,Image 3,Image 1,Image 3,Image 2,Image 4,Image 1,Image 1,Image 3,Image 2,Image 4,Image 4,Image 1,Image 3,Image 2,Image 2,Image 4,Image 3,Image 1,Image 3,Image 1,Image 2,Image 4,Image 4,Image 3,Image 1,Image 2,Image 2,Image 1,Image 3,Image 4,Image 2,Image 3,Image 4,Image 1,Image 4,Image 2,Image 3,Image 1,
09/06/2023 17:53:57,I consent,Image 4,Image 1,Image 2,Image 3,Image 2,Image 4,Image 1,Image 3,Image 3,Image 1,Image 4,Image 2,Image 2,Image 3,Image 1,Image 4,Image 3,Image 4,Image 2,Image 1,Image 2,Image 3,Image 1,Image 4,Image 4,Image 2,Image 1,Image 3,Image 4,Image 3,Image 2,Image 1,Image 1,Image 4,Image 3,Image 2,Image 4,Image 3,Image 2,Image 1,Image 2,Image 4,Image 3,Image 1,Image 3,Image 4,Image 2,Image 1,Image 4,Image 3,Image 2,Image 1,Image 2,Image 1,Image 3,Image 4,Image 2,Image 3,Image 1,Image 4,Image 2,Image 3,Image 4,Image 1,
09/06/2023 18:00:57,I don't consent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/06/2023 18:02:02,I consent,Image 2,Image 3,Image 4,Image 1,Image 2,Image 4,Image 1,Image 3,Image 2,Image 3,Image 4,Image 1,Image 1,Image 2,Image 3,Image 4,Image 3,Image 2,Image 4,Image 1,Image 3,Image 4,Image 2,Image 1,Image 3,Image 2,Image 4,Image 1,Image 2,Image 4,Image 1,Image 3,Image 1,Image 2,Image 3,Image 4,Image 1,Image 4,Image 2,Image 3,Image 2,Image 4,Image 3,Image 1,Image 2,Image 3,Image 4,Image 1,Image 4,Image 1,Image 2,Image 3,Image 2,Image 3,Image 4,Image 1,Image 1,Image 2,Image 3,Image 4,Image 4,Image 3,Image 2,Image 1,
09/06/2023 18:03:51,I consent,Image 1,Image 2,Image 4,Image 3,Image 3,Image 4,Image 2,Image 1,Image 3,Image 4,Image 1,Image 2,Image 2,Image 1,Image 3,Image 4,Image 4,Image 3,Image 2,Image 1,Image 3,Image 2,Image 4,Image 1,Image 2,Image 4,Image 3,Image 1,Image 3,Image 2,Image 1,Image 4,Image 1,Image 2,Image 3,Image 4,Image 1,Image 3,Image 2,Image 4,Image 1,Image 3,Image 2,Image 4,Image 3,Image 1,Image 2,Image 4,Image 4,Image 2,Image 1,Image 3,Image 2,Image 1,Image 3,Image 4,Image 2,Image 3,Image 4,Image 1,Image 4,Image 2,Image 3,Image 1,
09/06/2023 18:06:30,I consent,Image 1,Image 2,Image 3,Image 4,Image 2,Image 4,Image 3,Image 1,Image 3,Image 4,Image 1,Image 2,Image 2,Image 1,Image 4,Image 3,Image 2,Image 3,Image 4,Image 1,Image 3,Image 2,Image 4,Image 1,Image 2,Image 4,Image 3,Image 1,Image 2,Image 1,Image 3,Image 4,Image 1,Image 3,Image 2,Image 4,Image 4,Image 1,Image 3,Image 2,Image 2,Image 4,Image 3,Image 1,Image 3,Image 1,Image 2,Image 4,Image 4,Image 2,Image 3,Image 1,Image 2,Image 1,Image 3,Image 4,Image 2,Image 3,Image 4,Image 1,Image 1,Image 2,Image 3,Image 4,
09/06/2023 18:09:13,I consent,Image 2,Image 1,Image 3,Image 4,Image 3,Image 1,Image 4,Image 2,Image 1,Image 3,Image 4,Image 2,Image 1,Image 2,Image 4,Image 3,Image 2,Image 4,Image 1,Image 3,Image 3,Image 1,Image 2,Image 4,Image 4,Image 3,Image 2,Image 1,Image 4,Image 1,Image 2,Image 3,Image 1,Image 4,Image 3,Image 2,Image 2,Image 1,Image 3,Image 4,Image 2,Image 4,Image 3,Image 1,Image 1,Image 4,Image 2,Image 3,Image 4,Image 3,Image 1,Image 2,Image 3,Image 4,Image 1,Image 2,Image 3,Image 1,Image 4,Image 2,Image 4,Image 3,Image 2,Image 1,"I notice any pretty/sunset colores, that dont seem too edited "
09/06/2023 18:10:26,I consent,Image 1,Image 3,Image 4,Image 2,Image 2,Image 4,Image 3,Image 1,Image 3,Image 4,Image 2,Image 1,Image 2,Image 4,Image 1,Image 3,Image 4,Image 3,Image 2,Image 1,Image 2,Image 3,Image 4,Image 1,Image 2,Image 4,Image 3,Image 1,Image 3,Image 2,Image 4,Image 1,Image 1,Image 3,Image 4,Image 2,Image 4,Image 1,Image 3,Image 2,Image 4,Image 3,Image 2,Image 1,Image 3,Image 2,Image 1,Image 4,Image 4,Image 2,Image 3,Image 1,Image 2,Image 1,Image 3,Image 4,Image 2,Image 3,Image 4,Image 1,Image 4,Image 1,Image 3,Image 2,"Difference, Grandness"
